epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.58679,1.58357,3.68466,1.86006,0.01195,1,0.03815,0.01393,1.5952,4.02233,2.20512,6.666e-05,6.666e-05,6.666e-05
2,5.79043,1.33754,3.52552,1.74234,0.01442,1,0.3155,0.13992,1.47089,3.74348,2.17253,0.000143,0.000143,0.000143
3,9.20004,1.20849,3.17762,1.66079,0.01676,1,0.698,0.36388,1.43663,3.70733,2.23599,0.0002178,0.0002178,0.0002178
4,11.773,1.11587,2.74332,1.5707,0.02027,1,0.80643,0.42246,1.43685,3.7169,2.2063,0.000291061,0.000291061,0.000291061
5,13.9701,1.1455,2.51729,1.58192,0.02857,1,0.4505,0.30408,1.92598,3.61014,2.50233,0.000362781,0.000362781,0.000362781
6,15.9639,1.07316,2.22248,1.50667,0.02128,1,0.61687,0.2424,2.08484,3.45369,2.993,0.000432962,0.000432962,0.000432962
7,18.6321,1.14461,2.2217,1.5582,0.01935,1,0.995,0.33615,2.08698,3.30611,3.21889,0.000501603,0.000501603,0.000501603
8,23.1484,1.13731,2.05687,1.5495,0.01754,1,0.42643,0.13514,1.64098,3.31211,2.09626,0.000568704,0.000568704,0.000568704
9,27.3832,1.14862,2.17448,1.53899,1,0.61768,0.73571,0.45435,2.08535,2.57843,2.62054,0.000634265,0.000634265,0.000634265
10,31.9424,1.15989,2.09502,1.53025,1,0.62962,0.68047,0.37113,2.31812,2.67635,2.59282,0.000698287,0.000698287,0.000698287
11,34.3232,1.13965,1.93304,1.48652,1,0.55651,0.66692,0.43384,2.254,2.68066,2.6983,0.000760768,0.000760768,0.000760768
12,37.4189,1.16099,2.01229,1.5493,0.95867,0.33333,0.43939,0.21096,2.11052,2.39846,2.25163,0.00082171,0.00082171,0.00082171
13,40.4526,1.15338,1.89714,1.51597,0.46735,0.60137,0.56188,0.32208,1.80525,2.8331,2.33796,0.000881112,0.000881112,0.000881112
14,42.5116,1.18306,1.85051,1.53628,0.46393,0.33333,0.5,0.24224,2.00679,2.82236,2.40461,0.000938974,0.000938974,0.000938974
