epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.9762,0.81593,2.91958,1.05992,0.00414,0.94737,0.58507,0.48789,0.7873,2.99925,0.90841,0.00016,0.00016,0.00016
2,77.6747,0.81565,1.62212,0.95342,0.80029,0.42186,0.59751,0.44681,0.89015,2.73931,0.95997,0.000336634,0.000336634,0.000336634
3,113.402,0.91457,1.59915,1.02056,1,0.26383,0.65989,0.46795,0.95205,2.87031,0.95956,0.000509704,0.000509704,0.000509704
4,148.524,0.85458,1.36591,0.99637,0.91848,0.29691,0.53699,0.43458,0.95034,2.96462,1.0009,0.00067921,0.00067921,0.00067921
5,186.571,0.86624,1.34733,1.03839,0.72631,0.27977,0.43277,0.32069,1.07678,3.07598,1.17879,0.000845152,0.000845152,0.000845152
6,226.392,0.87941,1.346,1.03573,0.71302,0.39474,0.47764,0.33159,1.19937,2.84919,1.1911,0.00100753,0.00100753,0.00100753
7,266.669,0.89964,1.30553,1.05849,0.80601,0.5,0.55562,0.4047,1.17248,2.50333,1.10885,0.00116634,0.00116634,0.00116634
8,307.711,0.86661,1.27476,1.03189,0.68375,0.42105,0.47008,0.33313,1.22447,2.46529,1.15541,0.00132159,0.00132159,0.00132159
9,347.395,0.84741,1.18603,1.03054,0.52399,0.57936,0.52086,0.38015,1.12775,2.33528,1.18325,0.00147328,0.00147328,0.00147328
10,385.113,0.89075,1.17064,1.01818,0.62858,0.4901,0.4473,0.32156,1.08712,2.52177,1.12888,0.0016214,0.0016214,0.0016214
11,424.046,0.90374,1.18963,1.02943,0.6616,0.51471,0.50628,0.35316,1.20587,2.58369,1.17171,0.00176596,0.00176596,0.00176596
12,462.005,0.92023,1.10579,1.04223,0.67761,0.52632,0.49318,0.35422,1.19088,2.27257,1.15623,0.0017822,0.0017822,0.0017822
13,501.178,0.89515,1.08904,1.03714,0.57489,0.36842,0.33719,0.23404,1.16582,2.8545,1.17896,0.0017624,0.0017624,0.0017624
14,540.097,0.89575,1.07076,1.03757,0.8857,0.52632,0.63858,0.44563,1.19365,2.05969,1.12957,0.0017426,0.0017426,0.0017426
15,577.786,0.83054,0.98163,1.02167,0.65448,0.63158,0.64844,0.4545,1.08043,1.95584,1.10488,0.0017228,0.0017228,0.0017228
16,614.913,0.81526,0.93116,0.99453,0.83156,0.64979,0.70414,0.5371,1.07869,1.65822,1.07836,0.001703,0.001703,0.001703
17,652.155,0.86381,0.94785,1.02902,0.84497,0.57388,0.64274,0.46714,1.13728,2.14362,1.1482,0.0016832,0.0016832,0.0016832
18,692.633,0.81988,0.92307,0.99498,0.8267,0.50224,0.60199,0.44179,1.15879,2.05419,1.15972,0.0016634,0.0016634,0.0016634
19,730.133,0.88758,0.95763,1.04496,0.92094,0.61329,0.65934,0.47836,1.16438,1.84088,1.14753,0.0016436,0.0016436,0.0016436
20,767.277,0.82579,0.85128,1.01516,0.80881,0.63158,0.66572,0.46713,1.08569,1.72518,1.11159,0.0016238,0.0016238,0.0016238
21,803.721,0.82791,0.88231,1.02271,0.89677,0.63158,0.70335,0.5404,1.03267,1.45712,1.06247,0.001604,0.001604,0.001604
22,843.883,0.7169,0.7995,0.95689,0.68098,0.57895,0.59399,0.46332,1.12977,1.68497,1.12219,0.0015842,0.0015842,0.0015842
23,879.194,0.78921,0.8301,0.99786,0.89235,0.65455,0.66619,0.50375,1.02856,1.61292,1.05537,0.0015644,0.0015644,0.0015644
24,913.998,0.81716,0.80607,0.99998,0.89556,0.65789,0.72419,0.54709,1.07373,1.47352,1.05889,0.0015446,0.0015446,0.0015446
25,950.927,0.76322,0.80275,0.98079,0.92512,0.65048,0.72687,0.53714,1.02444,1.37388,1.04969,0.0015248,0.0015248,0.0015248
